GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Reform,org.reform.QueryBuilder.DML,DeleteQuery,37,0,0,0,8,0,2,0,2,0
Reform,org.reform.QueryBuilder.DML,InsertQuery,96,0,4,0,18,0,4,0,2,0
Reform,org.reform.QueryBuilder.DML,UpdateQuery,85,0,2,0,15,0,3,0,2,0
Reform,org.reform.QueryBuilder.DML,SelectQuery,132,0,2,0,22,0,6,0,5,0
Reform,org.reform.connection,ConnectionSession,21,32,2,2,5,9,3,2,1,2
Reform,org.reform.connection,PropertyConfig,3,63,0,0,2,20,0,7,0,7
Reform,org.reform.connection,ConnectionFactory,32,49,2,4,11,16,2,6,1,4
Reform,org.reform,Driver,21,0,0,0,7,0,2,0,2,0
Reform,org.reform.model,Pet,17,9,0,0,7,4,5,1,5,1
Reform,org.reform.model,Person,21,12,0,0,9,5,6,1,6,1
Reform,org.reform.QueryBuilder,GenericQueryFactory.new Object() {...},33,0,0,0,1,0,1,0,1,0
Reform,org.reform.QueryBuilder,GenericQueryFactory,27,11,6,1,6,4,6,2,1,2
Reform,org.reform.util,PreparedStatementUtil,90,0,6,0,20,0,6,0,3,0
Reform,org.reform.util,SqlUtil.new Object() {...},61,0,0,0,1,0,1,0,1,0
Reform,org.reform.util,SqlUtil,211,0,11,0,38,0,14,0,5,0
Reform,org.reform.util,TypeMappingUtil,26,93,5,9,11,22,5,7,1,4
Reform,org.reform.gateway,DataGateway,542,0,62,0,95,0,41,0,10,0
Reform,org.reform.gateway,GatewayManager,3,0,0,0,1,0,1,0,1,0
Reform,org.reform.QueryBuilder.DDL,CreateQuery,83,0,2,0,11,0,4,0,3,0
Reform,org.reform.QueryBuilder.DDL,DropQuery,3,0,0,0,1,0,1,0,1,0
Reform,org.reform.QueryBuilder.DDL,TruncateQuery,3,0,0,0,1,0,1,0,1,0
Reform,org.reform.dto,DatabaseMapper,67,0,14,0,14,0,9,0,2,0
Reform,org.reform.dto,DataMapper,195,10,2,0,42,3,17,1,16,1
Reform,org.reform.exception,DefaultConstructorException,4,0,0,0,2,0,1,0,1,0
Reform,org.reform.metadata,ColumnData,8,36,0,0,4,7,2,4,2,4
Reform,org.reform.metadata,EntityCardinality,26,0,0,0,11,0,6,0,6,0
Reform,org.reform.metadata,CardinalityType,38,0,0,0,3,0,4,0,4,0
Reform,org.reform.metadata,ForeignKeySchema,22,0,0,0,6,0,3,0,3,0
Reform,org.reform.metadata,TableSchema,134,139,16,6,32,26,20,9,12,6
Reform,org.reform.metadata,DatabaseSchema,192,58,27,3,45,15,22,4,7,4
Reform,org.reform.metadata,QueryType,108,0,0,0,10,0,4,0,4,0
